category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_094731/30/forecast_Wh_metrics_30d.json,[0.6489724060272315],[11.309361052690083],[0.9077753637355921],[-1.5616419589874453],[0.7416773885398585],[12.30992773462456],[0.11884444700778492],[0.14539018234603504]
60,260424_094731/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260424_094731/90/forecast_Wh_metrics_90d.json,[1.5282685431853718],[30.08655626530044],[1.9932367055401363],[-7.705242106995829],[1.432376105385435],[25.50549798698271],[0.2893872634217916],[0.31383158649977366]
120,260424_103644/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260424_103644/30/forecast_Wh_metrics_30d.json,[0.780307719632766],[13.630184149551347],[1.0914857356594632],[-2.415472162567342],[0.8564089549313303],[14.975476875756833],[0.14289550460758804],[0.16788088196321213]
60,260424_103644/60/forecast_Wh_metrics_60d.json,[0.70181676317908],[12.557415797775331],[0.9548739275076678],[-1.8195991829302707],[0.7679403801489423],[13.684180899129474],[0.13186839915356968],[0.16011489522383782]
90,260424_103644/90/forecast_Wh_metrics_90d.json,[0.601541735425685],[10.984998036723308],[0.784557839858223],[-0.7219272098439167],[0.6370507552978852],[11.581000280929079],[0.11390571207204353],[0.13957692289359755]
120,260424_112621/120/forecast_Wh_metrics_120d.json,[1.1282932078156498],[20.21119308030946],[1.3826894067545015],[-3.182052971341915],[1.0999647253627174],[23.4394668579326],[0.20639497314007427],[0.24507612492908887]
30,260424_112621/30/forecast_Wh_metrics_30d.json,[0.7333773732390338],[12.754767425085866],[1.025840090525485],[-2.161303151056405],[0.8239273073719381],[13.992307664673708],[0.13430128548016823],[0.16151354121030487]
60,260424_112621/60/forecast_Wh_metrics_60d.json,[1.2493758063202447],[22.640012327966108],[1.699868748802825],[-6.720181095103571],[1.270713255604892],[26.30729025271517],[0.23475242565360543],[0.26494259846221124]
90,260424_112621/90/forecast_Wh_metrics_90d.json,[0.5290410476515853],[10.238236557118048],[0.6899991756151994],[-0.3053524621376231],[0.554664712161896],[9.989551961275648],[0.10017725071968578],[0.12152625692284055]
120,260424_122046/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260424_122046/30/forecast_Wh_metrics_30d.json,[0.6652628825161262],[11.556894510613994],[0.93056230056494],[-1.8202338354548946],[0.778212825713001],[12.65896606780313],[0.12182767503386956],[0.15255218290688918]
60,260424_122046/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260424_122046/90/forecast_Wh_metrics_90d.json,[0.601541735425685],[10.984998036723308],[0.784557839858223],[-0.7219272098439167],[0.6370507552978852],[11.581000280929079],[0.11390571207204353],[0.13957692289359755]
120,260424_131923/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260424_131923/30/forecast_Wh_metrics_30d.json,[0.5618094655797635],[9.692578397626086],[0.7858528147425863],[-1.0741910683811882],[0.6673907832458537],[10.459297164967483],[0.1028825488425536],[0.1308278628571986]
60,260424_131923/60/forecast_Wh_metrics_60d.json,[0.7799241176519338],[14.004826669459202],[1.0611447951268507],[-2.4216537998037833],[0.8459639363299776],[15.419919435776244],[0.14654444044645548],[0.1763827382046884]
90,260424_131923/90/forecast_Wh_metrics_90d.json,[0.7003277986597057],[14.215206261845651],[0.9133990753281699],[-1.2026704652199718],[0.7205123094434525],[12.921598766272915],[0.13261147463646858],[0.1578632318111789]
