category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260429_072441/90/forecast_Wh_metrics_90d.json,[0.7540539026846408],[15.327074439572186],[0.9834710813677385],[1.1294089523078947],[-1.5039114554420352],[0.7682032215406851],[13.82119870180377],"[""2025-11-30T00:00:00""]",[5.85374],[0.14278485043970565],[0.16831224345611162]
120,260429_081941/120/forecast_Wh_metrics_120d.json,[2.8457107833333293],[52.53510890869328],[3.487333015519614],[2.6419769337357413],[-25.0088800152726],[2.7431200778494396],[83.57889202400183],"[""2025-10-31T00:00:00""]",[6.54126],[0.5205565331972352],[0.6111770890405932]
30,260429_081941/30/forecast_Wh_metrics_30d.json,[0.7673154420030972],[13.405936266675756],[1.0733122826104724],[1.0320088579131381],[-2.285593755134251],[0.8399680305276063],[14.709417281139284],"[""2026-01-29T00:00:00""]",[4.72749],[0.1405162662363886],[0.1646579860870136]
60,260429_081941/60/forecast_Wh_metrics_60d.json,[0.6956173364437537],[12.432597265065855],[0.9464391461435945],[0.9316282817811841],[-1.8171942870799214],[0.7676128139810272],[13.56246746549559],"[""2025-12-30T00:00:00""]",[4.57906],[0.13070355311091578],[0.16004659796533915]
90,260429_081941/90/forecast_Wh_metrics_90d.json,[0.49652992451022915],[9.095905015960712],[0.6475967036984387],[0.7436939717891052],[-0.15851587532609113],[0.5225377070890751],[9.3945364215007],"[""2025-11-30T00:00:00""]",[5.85374],[0.09402106501619928],[0.11448727537771308]
120,260429_091656/120/forecast_Wh_metrics_120d.json,[0.539213193487961],[9.99634243203071],[0.6607895584707674],[0.500609137058013],[0.043620257062601975],[0.5260162704240141],[9.949231686817035],"[""2025-10-31T00:00:00""]",[6.54126],[0.09863649964017603],[0.11719833030341877]
30,260429_091656/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_091656/60/forecast_Wh_metrics_60d.json,[1.34152519975],[24.346853394132324],[1.8252448552713267],[1.796681524929632],[-7.968688031304165],[1.3696142794308102],[28.70444138319423],"[""2025-12-30T00:00:00""]",[4.57906],[0.25206690662939485],[0.2855633751224331]
90,260429_091656/90/forecast_Wh_metrics_90d.json,[0.5586549394528544],[10.69633570913606],[0.7286229478543064],[0.8367437495154155],[-0.5566169549528954],[0.605699923528102],[10.734003024819232],"[""2025-11-30T00:00:00""]",[5.85374],[0.10578482744162503],[0.13270799982555245]
120,260429_102113/120/forecast_Wh_metrics_120d.json,[0.5497416761039065],[10.755914962909209],[0.6736918974030826],[0.510383850771535],[-0.06752678330773154],[0.5557422093487567],[10.110519198433874],"[""2025-10-31T00:00:00""]",[6.54126],[0.10056244040776313],[0.12382137716444641]
30,260429_102113/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260429_102113/60/forecast_Wh_metrics_60d.json,[0.6630715502006342],[11.857418729917487],[0.902158182273453],[0.8880402725002412],[-1.693779800023067],[0.7506108924728138],[12.939158816033448],"[""2025-12-30T00:00:00""]",[4.57906],[0.1245883376355349],[0.15650171225381615]
90,260429_102113/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
120,260429_112948/120/forecast_Wh_metrics_120d.json,[2.826181003802363],[52.13848513302355],[3.4633998578202987],[2.6238453557328216],[-24.43516791226996],[2.71269706700513],[82.6267380626944],"[""2025-10-31T00:00:00""]",[6.54126],[0.5169840147296916],[0.6043987320310624]
