category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260429_053015/30/forecast_Wh_metrics_30d.json,[0.6928655499176389],[12.106519651062552],[0.9691726038810249],[0.9318767037858919],[-1.7493070878775505],[0.7683647817884919],[13.184903595318042],"[""2026-01-29T00:00:00""]",[4.72749],[0.12688247199103778],[0.15062168195855238]
60,260429_053015/60/forecast_Wh_metrics_60d.json,[0.5952488119103297],[10.686830669704182],[0.809880300234516],[0.7972064507583642],[-1.0581927993200448],[0.6561102819167691],[11.414369522052436],"[""2025-12-30T00:00:00""]",[4.57906],[0.11184473219065919],[0.1367984178980289]
90,260429_053015/90/forecast_Wh_metrics_90d.json,[0.4910380336111007],[8.992171892305265],[0.6404339320953875],[0.7354683121585522],[-0.14764292858904482],[0.520079856351716],[9.296781193776575],"[""2025-11-30T00:00:00""]",[5.85374],[0.0929811409234104],[0.11394876374422179]
120,260429_063552/120/forecast_Wh_metrics_120d.json,[0.8502642151811792],[15.064037519100104],[1.0419732345544124],[0.7893909870413108],[-1.423856781869138],[0.8374087045289385],[16.67808682694059],"[""2025-10-31T00:00:00""]",[6.54126],[0.1555360420843364],[0.1865776924984259]
30,260429_063552/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_063552/60/forecast_Wh_metrics_60d.json,[1.090090612564546],[19.760278828846587],[1.4831493905099913],[1.4599395258910755],[-4.614058514210937],[1.0836082025996179],[22.321994431238085],"[""2025-12-30T00:00:00""]",[4.57906],[0.2048234119687749],[0.2259313591366016]
90,260429_063552/90/forecast_Wh_metrics_90d.json,[0.4778187444444445],[8.997584691025645],[0.6231927394361388],[0.715668688451529],[-0.01477183580427699],[0.4890472748066394],[9.041056011986653],"[""2025-11-30T00:00:00""]",[5.85374],[0.09047798535341713],[0.1071495688520015]
120,260429_074125/120/forecast_Wh_metrics_120d.json,[2.1939687106136647],[40.1985795561094],[2.6886426984606984],[2.036895232195594],[-13.567201777250938],[2.052920167984563],[54.949510501132316],"[""2025-10-31T00:00:00""]",[6.54126],[0.40133549502963684],[0.45739804918973614]
30,260429_074125/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_074125/60/forecast_Wh_metrics_60d.json,[1.4434294382987491],[26.278921931790073],[1.9638931543685845],[1.9331601112034338],[-9.070884262817204],[1.4513348335247116],[31.24532343290148],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127656],[0.30260203892318444]
